orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;situacao;natureza;indicador_de_orcamento;data_de_emissao;data_de_recebimento;data_de_registro;valor_total_com_impostos;nota_fiscal_para_aglutinacao
1250 - POLICIA MILITAR DE MINAS GERAIS;Outros;03.914.523/0001-31;GESET COMERCIO ASSISTENCIA TECNICA E LOCACOES MAQUINAS E DUPLICADORES LTDA;7595;;1;Completa;Serviço;Despesa extra orçamentária;2026-03-06;2026-04-01;2026-04-01;20,37;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Outros;***.225.426-**;CLENO VICENTE RAMALHO JUNIOR;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;1700,0;Não
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Outros;***.918.976-**;CESIO ROSA PEREIRA;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;1250,0;Não
1250 - POLICIA MILITAR DE MINAS GERAIS;Outros;03.914.523/0001-31;GESET COMERCIO ASSISTENCIA TECNICA E LOCACOES MAQUINAS E DUPLICADORES LTDA;7596;;1;Completa;Serviço;Despesa extra orçamentária;2026-03-06;2026-04-01;2026-04-01;55,9;Não
1250 - POLICIA MILITAR DE MINAS GERAIS;Outros;03.914.523/0001-31;GESET COMERCIO ASSISTENCIA TECNICA E LOCACOES MAQUINAS E DUPLICADORES LTDA;7598;;1;Completa;Serviço;Despesa extra orçamentária;2026-03-06;2026-04-01;2026-04-01;58,17;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;40.968.252/0001-23;MEDICINA SEGURA DISTRIBUICAO E PROMOCAO EM VENDAS LTDA;3389;1;1;Completa - Recebimento definitivo;Consumo;Despesa extra orçamentária;2026-03-30;2026-04-01;2026-04-01;32400,0;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;34.357.265/0001-63;MA SANDOVAL LTDA;1425;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-19;2026-04-01;2026-04-01;3332,7;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;02.178.270/0001-12;VILSON VALENCA DOS SANTOS JUNIOR -ME;816;1;1;Completa - Recebimento definitivo;Consumo;Despesa extra orçamentária;2026-03-19;2026-04-01;2026-04-01;757,23;Não
1260 - SECRETARIA DE ESTADO DE EDUCACAO;Nota fiscal;17.006.682/0001-42;GAS E AGUA SANTA CLARA LTDA;4063;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-17;2026-03-17;2026-04-01;341,37;Não
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;17.331.294/0001-37;W M PORTAS EMPREENDIMENTOS EM MOVEIS PLANEJADOS LTDA - EPP;1184;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-31;2026-04-01;2026-04-01;2050,0;Não
1260 - SECRETARIA DE ESTADO DE EDUCACAO;Nota fiscal;31.722.206/0001-59;IVANETE APARECIDA MIRANDA;3876;;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-25;2026-04-01;2026-04-01;278,5;Não
1250 - POLICIA MILITAR DE MINAS GERAIS;Outros;03.914.523/0001-31;GESET COMERCIO ASSISTENCIA TECNICA E LOCACOES MAQUINAS E DUPLICADORES LTDA;7597;;1;Completa;Serviço;Despesa extra orçamentária;2026-03-06;2026-04-01;2026-04-01;44,87;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;02.178.270/0001-12;VILSON VALENCA DOS SANTOS JUNIOR -ME;813;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-19;2026-04-01;2026-04-01;1686,0;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;19.994.997/0001-70;CRIATIVA SOLUCOES PARA CONSTRUCAO LTDA;2245;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-18;2026-04-01;2026-04-01;13883,87;Não
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;17.331.294/0001-37;W M PORTAS EMPREENDIMENTOS EM MOVEIS PLANEJADOS LTDA - EPP;1185;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-31;2026-04-01;2026-04-01;11344,0;Não
1250 - POLICIA MILITAR DE MINAS GERAIS;Nota fiscal;48.743.803/0001-62;JANDERSON REZENDE OLIVEIRA 07585944616;34;;2;Completa;Serviço;Despesa orçamentária;2026-03-27;2026-03-27;2026-04-01;2749,99;Não
1510 - POLICIA CIVIL DO ESTADO DE MINAS GERAIS;Outros;***.961.696-**;DIVINO SIMIAO APARECIDO BORGES;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;14732,2;Não
2300 - DEPARTAMENTO DE ESTRADAS DE RODAGEM;Nota fiscal;08.273.364/0001-57;TICKET GESTAO EM MANUTENCAO EZC S.A;48474663;;1;Completa;Serviço;Despesa orçamentária;2026-03-17;2026-03-18;2026-04-01;1141,88;Não
1260 - SECRETARIA DE ESTADO DE EDUCACAO;Outros;***.550.906-**;LUIZ CESAR ZAMPIER;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;5289,78;Não
1090 - PROCURADORIA GERAL DE JUSTICA;Nota fiscal;22.786.872/0001-60;HAMMER CONSULTORIA LTDA;124;;1;Completa;Serviço;Despesa orçamentária;2026-03-31;2026-04-01;2026-04-01;794968,6;Não
1450 - SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC;Nota fiscal;54.810.188/0001-62;W18 MEDICAL - COMERCIO E SERVICOS LTDA;2062;1;1;Completa - Recebimento definitivo;Consumo;Despesa orçamentária;2026-03-30;2026-03-30;2026-04-01;11394,0;Não
1260 - SECRETARIA DE ESTADO DE EDUCACAO;Outros;***.646.526-**;LUIZ FERNANDO CARVALHO CESAR;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;2644,89;Não
1260 - SECRETARIA DE ESTADO DE EDUCACAO;Outros;***.225.776-**;LUIZ GALDINO DE CARVALHO CESAR;32026;;1;Completa;Serviço;Despesa orçamentária;2026-04-01;2026-04-01;2026-04-01;2644,89;Não
2310 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS;Nota fiscal;31.864.051/0001-95;PLAST LABOR IND.E COM.DE EQUIP.HOSP.E LABORATORIO LTDA;265582;1;1;Completa - Recebimento definitivo;Consumo;Despesa extra orçamentária;2026-01-13;2026-04-01;2026-04-01;320,0;Não
